split_id,method_id,run_id,order,dataset_index,image_id,image_relpath,reference_captions,prompt_id,prompt_name,prompt_text,caption,candidate_id,selected,model,temperature,top_p,max_new_tokens,generation_config
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,0,28282,flickr30k_test_028282,images/flickr30k/flickr30k_test_028282.jpg,"[""Two people wearing shorts and athletic shoes are in a gym while one has his feet on the ground the second one is holding a ball with both his feet in the air."", ""There are two young men, one wearing yellow and black and one wearing green and black, competing at a sport in an arena."", ""A man in a green jersey is jumping in the air getting ready to throw a ball."", ""A man wearing green and black is jumping through the air holding a ball."", ""A screaming man playing hand-ball makes a throw by jumping into the air.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A handball player in a green jersey leaps dynamically to throw the ball, his body stretched in mid-air as a defender in black and yellow attempts to block him. The intense action unfolds on a polished indoor court, capturing the athleticism and competitive spirit of the sport.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,1,27821,flickr30k_test_027821,images/flickr30k/flickr30k_test_027821.jpg,"[""A black female marathon runner wearing a red adidas shirt passes several onlookers."", ""A woman wearing an Adidas tank top is running in front of a crowd."", ""A female marathon runner inhales mid-stride."", ""A black girl wearing Adidas is running."", ""Marathon runner focused on the run.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A determined female runner, Mary, competes in a marathon, her focused expression and athletic gear reflecting the intensity of the race as spectators watch from the sidelines.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,2,1853,flickr30k_test_001853,images/flickr30k/flickr30k_test_001853.jpg,"[""A couple and their child are playing on the beach next to the ocean."", ""Some people are standing alone on the beach in their swimsuits."", ""A man and a woman are standing on the beach with their child."", ""A family of three is spending the day at the beach."", ""A couple on the beach with their child.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A couple strolls along the sandy beach, enjoying the ocean waves and seagulls, with seaweed scattered across the shore under a clear sky.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,3,3001,flickr30k_test_003001,images/flickr30k/flickr30k_test_003001.jpg,"[""A man wearing Nike tennis shoes, camouflage shorts, a red shirt and a red and white hat (sitting backwards on his head) is doing a split on a marble tiled pavement."", ""A young man in camouflage pants and a red shirt does a partial split as part of a dance performance."", ""A boy in camouflage shorts and an orange shirt has his hat on backwards."", ""A man in a red hat and shirt with gray shorts attempts to do the splits."", ""A man with a red t-shirt is dancing.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A breakdancer in a red shirt and camouflage shorts executes a dynamic floor move, showcasing agility and style on a concrete surface.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,4,2781,flickr30k_test_002781,images/flickr30k/flickr30k_test_002781.jpg,"[""African American people in dark clothing are raising their hands up in a room with green curtains, and a man at the front right is standing behind a microphone."", ""People in a dark room that has walls illuminated by green lights and one person is holding up their cellphone."", ""A woman holds a cellphone up in to take a picture over a large crowd."", ""People raise their phones in a nightclub while listening to a band."", ""Lots of people at an event with flashing lights and a stage.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A crowd of concertgoers dances and captures the moment under vibrant green stage lights, their energy pulsing with the music.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,5,11831,flickr30k_test_011831,images/flickr30k/flickr30k_test_011831.jpg,"[""A group of climbers in silhouette stare towards the sun over the mountaintops."", ""Several people are standing on a ledge overlooking snowy mountains."", ""A group of people standing on a hill with the sun in the distance."", ""Eight people are standing on a hill above the clouds."", ""A group of hikers looks at the tops of mountains.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"Silhouetted climbers stand atop a mountain peak, gazing at the radiant sun piercing through a sea of clouds below.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,6,27377,flickr30k_test_027377,images/flickr30k/flickr30k_test_027377.jpg,"[""A blond woman appears to be on stage, strumming an acoustic guitar and singing into a microphone."", ""A blond woman is holding a guitar standing behind a microphone."", ""Lady singing and playing a acoustic guitar on a dark stage."", ""A blond singer is performing while playing her guitar."", ""A blond woman is playing the guitar on stage.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A singer with long blonde hair performs on stage, strumming an acoustic guitar and singing into a microphone, illuminated by dramatic blue lighting and glowing orb decorations.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,7,5540,flickr30k_test_005540,images/flickr30k/flickr30k_test_005540.jpg,"[""A group of men and women looking and children with red t-shirt walking around."", ""A brown-haired lady in a red shirt and black pants standing, looking around."", ""Everyone is wearing red in this picture and I think this woman just noticed."", ""A woman holding a camera is gathered with people all wearing red shirts."", ""A group of people are walking across the street.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A group of people in matching red shirts march together in a street demonstration, umbrellas in hand and determination in their steps.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,8,24116,flickr30k_test_024116,images/flickr30k/flickr30k_test_024116.jpg,"[""A little girl with a woman that is bending over painting chinese symbols on the cement."", ""The little girl is watching the lady write on the ground."", ""Young Asian girl and old man look down at marked ground."", ""A woman is helping a girl draw a symbol in the stones."", ""An Asian girl is watching the ground.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"An elderly man carefully writes on a stone pavement while a young girl in a colorful dress watches curiously, capturing a moment of cultural tradition and intergenerational connection in a serene park setting.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
flickr30k_retrieval_2000_seed2,qwen_textgrad_constrained_best,qwen_textgrad_constrained_best__flickr30k_retrieval_2000_seed2,9,26508,flickr30k_test_026508,images/flickr30k/flickr30k_test_026508.jpg,"[""A ribbon dancer wearing a neon pink and green outfit with only one left white sleeve leaps high into the air- throwing her ribbon out before her in a \""c\"" shape."", ""A girl gymnast in a bright pink and green costume leaping and twirling a baton with a long pink streamer"", ""A gymnast is photographed midair in a pink costume, dancing with a ribbon accompaniment."", ""Girl performing a jump in the air using a silk ribbon."", ""Olympian, female, performing floor routine.""]",textgrad_constrained_best,TextGrad Constrained Best,Write a caption for this image.,"A graceful rhythmic gymnast leaps through the air, wielding a vibrant pink ribbon in a dazzling performance, her colorful costume and dynamic pose capturing the elegance and athleticism of the sport.",0,1,Qwen/Qwen3-VL-8B-Instruct,0.0,,64,"{""temperature"": 0.0, ""top_p"": null, ""max_new_tokens"": 64}"
